uniqueID,mpFrom,mpTo
Abbott1869,1913-05-31,1919-11-03
Abbott1886,1925-11-14,1929-10-12
Abbott1886,1931-12-19,1937-03-28
Abbott1891,1940-09-21,1949-10-31
Abbott1957,1994-03-26,2019-05-18
Abel1939,1975-12-13,1977-11-10
Adams1951,1993-03-13,2013-09-07
Adermann1896,1949-12-10,1972-11-02
Adermann1896,1943-08-21,1949-12-10
Adermann1927,1984-12-01,1990-02-19
Adermann1927,1972-12-02,1984-12-01
Ahern1871,1913-05-31,1914-09-05
Albanese1963,1996-03-02,NA
Aldred1945,1983-05-28,1990-03-24
Aldred1945,1990-03-24,1996-01-29
Aldred1945,1975-12-13,1980-10-18
Alexander1951,2010-08-21,2017-11-11
Alexander1951,2018-12-16,NA
Allan1916,1953-12-19,1969-04-30
Allen1966,2019-05-18,NA
Aly1967,2016-07-02,NA
Anderson1956,1989-04-15,2007-10-17
AndersonCharles1897,1949-12-10,1951-04-28
AndersonCharles1897,1955-12-10,1961-12-09
AndersonGordon1897,1949-12-10,1955-11-04
Andren1946,1996-03-02,2007-10-17
Andrew1944,1983-03-05,2004-08-31
Andrews1900,1949-12-10,1955-12-10
Andrews1955,1991-05-11,NA
Andrews1960,2010-08-21,NA
Anstey1865,1910-04-13,1934-08-07
Anthony1897,1937-10-23,1957-07-12
Anthony1929,1957-09-14,1984-01-18
Anthony1961,1996-03-02,2004-10-09
Archer1871,1906-12-12,1910-04-13
Archer1975,2019-05-18,NA
Archibald1852,1910-04-13,1919-12-13
Armitage1920,1969-10-25,1983-02-04
Armitage1920,1961-12-09,1963-11-30
Armstrong1909,1965-02-27,1969-10-25
Arthur1875,1913-05-31,1914-12-09
Arthur1918,1966-11-26,1969-10-25
AshleyBrown1915,1972-12-02,1974-05-18
Aston1916,1955-12-10,1961-12-09
Aston1916,1963-11-30,1972-12-02
Atkinson1867,1906-12-12,1929-10-12
Atkinson1948,1990-03-24,1996-03-02
Badman1885,1937-10-23,1943-08-21
Bailey1946,1990-03-24,1993-03-13
Bailey1946,1996-03-02,2010-07-19
Baillieu1937,1975-12-13,1980-10-18
Baird1942,1998-10-03,2007-10-17
Baker1873,1940-09-21,1943-08-21
Baker1903,1934-09-15,1939-03-28
Baker1903,1931-12-19,1934-09-15
Baker1958,2004-10-09,2007-11-24
Baldwin1951,1983-03-05,1998-08-31
Baldwin1955,1996-03-02,1998-10-03
Baldwin1955,2001-11-10,2016-05-09
Bamford1849,1901-03-30,1925-10-03
Bandidt1906,1958-11-22,1961-12-09
Bandt1972,2010-08-21,NA
Banks1962,2016-07-02,2019-05-18
Barnard1890,1934-09-15,1949-12-10
Barnard1919,1954-05-29,1975-06-02
Barnes1901,1958-11-22,1972-11-02
Barresi1955,1996-03-02,2007-11-24
Bartlett1949,1996-03-02,2007-11-24
Barton1849,1901-03-29,1903-09-30
Barwick1903,1958-03-08,1964-04-24
Batchelor1865,1903-12-16,1911-10-08
Batchelor1865,1901-03-30,1903-12-16
Bate1906,1949-12-10,1972-12-02
Baume1930,1975-12-13,1983-03-05
Bayley1882,1917-05-05,1931-12-19
Beale1898,1946-09-28,1958-02-10
Beale1934,1990-03-24,1996-03-02
Beale1934,1984-12-01,1990-03-24
Beard1866,1910-04-13,1910-12-18
Beasley1895,1928-11-17,1946-08-14
Beaton1925,1960-07-16,1969-04-09
Beazley1917,1945-08-18,1977-11-10
Beazley1948,1996-03-02,2007-10-17
Beazley1948,1980-10-18,1996-03-02
Beck1882,1940-09-21,1943-08-21
Beddall1948,1983-03-05,1984-12-01
Beddall1948,1984-12-01,1998-08-31
Bell1872,1919-12-13,1922-12-16
Bell1872,1925-11-14,1943-07-07
Bell1968,2019-05-18,NA
Bennett1872,1912-06-01,1913-04-23
Bennett1874,1913-05-31,1914-09-05
Bennett1933,1969-10-25,1975-12-13
Benson1909,1962-09-01,1969-09-29
Berinson1932,1969-10-25,1975-12-13
Berry1907,1949-12-10,1954-05-29
Best1856,1910-08-24,1922-12-16
Bevis1955,1990-03-24,2010-08-21
Bidgood1959,2007-11-24,2010-07-19
Billson1966,1996-03-02,2016-05-09
Bilney1939,1983-03-05,1996-03-02
Bird1906,1949-12-10,1962-07-21
Bird1962,2004-10-09,NA
Birney1928,1975-12-13,1983-03-05
Birrell1913,1963-11-30,1974-04-11
Bishop1942,1994-03-26,2016-05-09
Bishop1956,1998-10-03,2019-05-18
Blackburn1880,1934-09-15,1943-08-21
Blackburn1889,1946-09-28,1949-12-10
Blacklow1879,1931-12-19,1934-09-15
Blackwood1861,1903-12-16,1904-04-13
Blain1894,1934-09-15,1949-12-10
Blakeley1886,1917-05-05,1934-09-15
Blanchard1929,1983-03-05,1990-03-24
Bland1882,1951-04-28,1961-11-02
Blewett1933,1977-12-10,1994-02-11
Blundell1871,1919-12-13,1922-12-16
Blunt1951,1984-02-18,1990-03-24
Bonnett1916,1966-11-26,1977-11-10
Bonython1848,1903-12-16,1906-11-05
Bonython1848,1901-03-30,1903-12-16
Bosman1924,1963-11-30,1969-10-25
Bostock1892,1949-12-10,1958-11-22
Bourchier1929,1972-12-02,1983-03-05
Bourke1913,1949-12-10,1955-12-10
Bowden1871,1906-12-12,1910-04-13
Bowden1871,1919-12-13,1922-12-16
Bowden1871,1922-12-16,1929-10-12
Bowden1888,1943-08-21,1961-11-02
Bowen1911,1964-06-20,1973-07-11
Bowen1922,1969-10-25,1990-02-19
Bowen1973,2010-08-21,NA
Bowen1973,2004-10-09,2010-08-21
Boyd1867,1913-05-31,1919-12-13
Bradbury1976,2007-11-24,2013-09-07
Braddon1829,1901-03-29,1903-12-16
Braddon1829,1903-12-16,1904-02-02
Bradfield1933,1975-12-13,1983-03-05
Bradford1946,1990-03-24,1998-10-03
Braithwaite1933,1975-12-13,1996-01-29
Brand1888,1954-05-29,1958-10-14
Breen1898,1940-09-21,1946-09-28
Brennan1873,1911-02-08,1931-12-19
Brennan1873,1934-09-15,1949-10-31
Brereton1946,1990-03-24,2004-08-31
BridgesMaxwell1929,1964-12-05,1969-10-25
Briggs1977,2008-09-06,2016-07-02
Brimblecombe1898,1951-04-28,1966-10-31
Broad1975,2013-09-07,2019-04-11
Broadbent1950,1990-03-24,1993-03-13
Broadbent1950,1996-03-02,1998-10-03
Broadbent1950,2004-10-09,2019-04-11
Broadbent1950,2019-05-18,NA
Brodtmann1963,2010-08-21,2019-04-11
Brough1961,2013-09-07,2016-05-09
Brough1961,1996-03-02,2007-11-24
Brown1843,1906-12-12,1910-04-13
Brown1861,1906-12-12,1913-05-31
Brown1861,1901-03-29,1906-12-12
Brown1894,1949-12-10,1955-10-14
Brown1931,1977-12-10,1990-02-19
Brown1933,1984-12-01,1998-08-31
Brown1933,1980-10-18,1984-12-01
Brown1940,1969-10-25,1972-12-02
Brown1940,1975-12-13,1983-03-05
Brown1940,1984-12-01,1991-02-25
Brownbill1914,1966-11-26,1969-10-25
Browne1924,1958-11-22,1961-12-09
Bruce1883,1918-05-11,1929-10-12
Bruce1883,1931-12-19,1933-10-06
Bruce1884,1951-04-28,1958-10-11
Brumby1953,1983-03-05,1990-03-24
Bryant1914,1955-12-10,1980-09-19
Bryson1898,1943-08-21,1946-09-28
Bryson1898,1949-12-10,1955-12-10
Buchanan1905,1955-12-10,1972-12-02
Buchholz1968,2010-08-21,NA
Bungey1934,1974-05-18,1983-03-05
Burchell1883,1913-05-31,1922-11-06
Burke1910,1943-08-21,1955-12-10
Burke1966,1998-10-03,2016-05-09
Burke1969,2004-10-09,NA
Burney1957,2016-07-02,NA
Burns1869,1913-05-31,1917-05-05
Burns1933,1977-12-10,1980-10-18
Burns1987,2019-05-18,NA
Burr1939,1984-12-01,1993-02-08
Burr1939,1975-12-13,1984-12-01
Bury1913,1956-12-08,1974-04-11
Butler1970,2007-11-24,2019-04-11
Butler1970,2019-05-18,NA
Butler1977,2014-02-08,NA
Byrne1962,1999-11-06,NA
Cadman1937,1974-05-18,2007-10-17
Cairns1914,1969-10-25,1977-11-10
Cairns1914,1955-12-10,1969-10-25
Cairns1929,1963-11-30,1972-12-02
Cairns1929,1974-05-18,1980-10-18
Calder1916,1966-11-26,1980-09-19
Calwell1896,1940-09-21,1972-11-02
Cameron1851,1901-03-29,1903-12-16
Cameron1851,1904-02-26,1906-12-12
Cameron1873,1922-12-16,1934-08-07
Cameron1879,1919-12-13,1931-12-19
Cameron1895,1934-09-15,1956-08-09
Cameron1900,1949-12-10,1961-12-09
Cameron1913,1949-12-10,1980-09-19
Cameron1917,1961-12-09,1963-11-30
Cameron1930,1977-12-10,1993-02-08
Cameron1938,1980-10-18,1990-02-19
Cameron1940,1977-12-10,1983-03-05
Cameron1940,1966-11-26,1977-12-10
Cameron1940,1983-11-05,1990-03-24
Cameron1965,1996-03-02,2004-10-09
CameronEoin1951,1993-03-13,1998-10-03
Campbell1939,1980-10-18,1998-10-03
Campbell1972,2007-11-24,2010-07-19
Cann1871,1910-04-13,1913-05-31
Carige1938,1975-12-13,1977-12-10
Carlton1935,1977-12-10,1994-01-14
Carpenter1863,1903-12-16,1906-12-12
Carr1875,1906-12-12,1917-05-05
Casey1890,1931-12-19,1940-01-30
Casey1890,1949-12-10,1960-02-10
Cash1919,1958-11-22,1961-12-09
Cass1927,1969-10-25,1983-02-04
Catley1942,1990-03-24,1993-03-13
Catts1877,1906-12-12,1922-12-16
Causley1940,1996-03-02,2007-10-17
Chalmers1978,2013-09-07,NA
Chambers1897,1943-08-21,1958-10-14
Champion1972,2007-11-24,2019-04-11
Champion1972,2019-05-18,NA
Chaney1914,1955-12-10,1969-10-25
Chaney1941,1990-03-24,1993-02-08
Chanter1845,1901-03-29,1903-12-16
Chanter1845,1904-05-18,1913-05-31
Chanter1845,1914-09-05,1922-12-16
Chapman1864,1901-03-29,1926-01-12
Chapman1949,1975-12-13,1983-03-05
Charles1936,1990-03-24,2004-08-31
Charles1948,1980-10-18,1990-02-19
Charlesworth1952,1983-03-05,1993-02-08
Charlton1866,1910-04-13,1928-10-09
Cheeseman1976,2007-11-24,2013-09-07
Chester1967,2008-06-28,NA
Chesters1980,2013-09-07,NA
Chifley1885,1928-11-17,1931-12-19
Chifley1885,1940-09-21,1951-06-13
Child1921,1974-05-18,1975-12-13
Child1921,1980-10-18,1990-02-19
Chipp1925,1960-12-10,1969-10-25
Chipp1925,1969-10-25,1977-11-10
Chresby1908,1958-11-22,1961-12-09
Christensen1978,2010-08-21,NA
Chynoweth1941,1984-12-01,1990-03-24
Chynoweth1941,1993-03-13,1996-03-02
Chynoweth1941,1983-03-05,1984-12-01
Ciobo1974,2001-11-10,2019-04-11
Clare1972,2007-11-24,NA
Clarey1890,1949-12-10,1960-05-17
Clark1897,1934-09-15,1969-09-29
Clarke1857,1901-03-29,1903-12-16
Clasby1891,1931-12-19,1932-01-15
Clay1900,1958-11-22,1963-11-30
Claydon1964,2013-09-07,NA
Clayton1942,1974-05-18,1975-12-13
Cleary1952,1992-04-11,1992-11-25
Cleary1952,1993-03-13,1996-03-02
Cleaver1917,1955-12-10,1969-10-25
Cleeland1938,1984-12-01,1990-03-24
Cleeland1938,1993-03-13,1996-03-02
Coates1944,1972-12-02,1975-12-13
Cobb1945,1984-12-01,1998-08-31
Cobb1950,2007-11-24,2016-05-09
Cobb1950,2001-11-10,2007-11-24
Cockle1908,1961-12-09,1966-08-03
Cohen1935,1969-10-25,1990-02-19
Coker1962,2019-05-18,NA
Coleman1892,1922-12-16,1931-12-19
Coleman1928,1981-04-11,1987-06-05
Coleman1974,2013-09-07,NA
Coles1892,1940-09-21,1946-02-11
Collard1912,1961-12-09,1975-12-13
Collins1878,1928-11-17,1929-10-12
Collins1886,1931-12-19,1943-08-21
Collins1971,2007-11-24,NA
Comber1919,1961-12-09,1963-11-30
Combet1958,2007-11-24,2013-08-05
Conaghan1971,2019-05-18,NA
Conelan1895,1939-05-20,1949-12-10
Connelly,2019-05-18,NA
Connolly1939,1974-05-18,1996-01-29
Connor1907,1963-11-30,1977-08-22
Conquest1930,1984-12-01,1987-07-11
Conroy1864,1901-03-29,1906-12-12
Conroy1864,1913-05-31,1914-09-05
Conroy1979,2013-09-07,2016-07-02
Conroy1979,2016-07-02,NA
Considine1885,1917-05-05,1922-12-16
Cook1860,1901-03-29,1921-11-11
Cook1868,1919-12-13,1928-10-09
Cooke1847,1901-03-29,1903-11-23
Cooke1938,1972-12-02,1974-04-11
Coon1869,1906-12-12,1910-04-13
Cope1907,1955-05-21,1955-12-10
Cope1907,1969-10-25,1975-11-11
Cope1907,1955-12-10,1969-10-25
Corbett1906,1966-11-26,1980-09-19
Corboy1896,1918-10-26,1919-12-13
Corcoran1951,2000-08-12,2007-10-17
Corser1852,1915-12-11,1928-07-31
Corser1882,1928-09-03,1954-04-21
Costa1900,1949-12-10,1969-09-29
Costello1957,1990-03-24,2009-10-19
Cotter1935,1975-12-13,1980-10-18
Coulton1958,2007-11-24,NA
Courtice1950,1987-07-11,1993-03-13
Courtnay1903,1958-11-22,1969-09-29
Coutts1908,1954-05-29,1958-11-22
Coutts1908,1961-12-09,1966-11-26
Cowan1926,1980-10-18,1993-02-08
Cox1954,1998-10-03,2004-10-09
Cramer1897,1949-12-10,1974-04-11
Crawford1947,1987-07-11,1996-03-02
Crean1916,1951-04-28,1977-11-10
Crean1949,1990-03-24,2013-08-05
Cremean1907,1949-12-10,1955-12-10
Crewther1983,2016-07-02,2019-05-18
Crook1959,2010-08-21,2013-08-05
Crosio1939,1990-03-24,2004-08-31
Cross1929,1961-12-09,1975-12-13
Cross1929,1980-10-18,1990-02-19
Crouch1868,1929-10-12,1931-12-19
Crouch1868,1901-03-29,1910-04-13
Cruickshank1853,1901-03-29,1903-11-23
Culley1877,1928-11-17,1931-12-19
Culpin1846,1903-12-16,1906-12-12
Cunningham1889,1919-12-13,1925-11-14
Cunningham1889,1929-10-12,1931-12-19
Cunningham1939,1980-10-18,1990-03-24
Cunningham1939,1993-03-13,1996-03-02
Curtin1885,1928-11-17,1931-12-19
Curtin1885,1934-09-15,1945-07-05
Curtin1898,1955-12-10,1969-09-29
Curtin1898,1949-12-10,1955-12-10
Cusack1868,1929-10-12,1931-12-19
Daly1912,1949-12-10,1975-11-11
Daly1912,1943-08-21,1949-12-10
Danby1955,1998-10-03,2019-04-11
Dankel1864,1913-05-31,1917-03-26
Dargavel1966,1997-02-01,1998-08-31
Darling1936,1980-10-18,1993-02-08
DAth1970,2007-11-24,2013-09-07
Davidson1897,1946-09-28,1949-12-10
Davidson1897,1949-12-10,1963-11-01
Davies1884,1949-12-10,1956-02-17
Davies1919,1958-11-22,1975-12-13
Davis1900,1949-12-10,1966-10-31
Dawkins1947,1977-12-10,1994-02-04
Dawkins1947,1974-05-18,1975-12-13
Deahm1938,1993-03-13,1996-03-02
Deakin1856,1901-03-29,1913-04-23
Dean1913,1949-12-10,1964-09-30
Dean1942,1977-12-10,1983-03-05
Debus1943,2007-11-24,2010-07-19
Dedman1896,1940-03-02,1949-12-10
Dein1889,1931-12-19,1934-08-07
Dennis1870,1931-12-19,1934-09-15
Devine1923,1963-09-28,1969-09-29
Dick1972,2016-07-02,NA
Dobie1927,1969-10-25,1972-12-02
Dobie1927,1975-12-13,1996-01-29
Dobie1927,1966-11-26,1969-10-25
Dodd1953,1993-03-13,1996-03-02
Dondas1939,1996-03-02,1998-10-03
Downer1910,1949-12-10,1964-04-23
Downer1951,1984-12-01,2008-07-14
Doyle1922,1972-12-02,1974-05-18
Drakeford1878,1934-09-15,1955-12-10
Draper1959,1996-03-02,2007-10-17
Dreyfus1956,2007-11-24,NA
Drum1960,2016-07-02,2019-04-11
Drum1960,2019-05-18,NA
Drummond1890,1949-12-10,1963-11-01
Drummond1931,1972-12-02,1987-06-05
Drury1911,1949-12-10,1975-11-11
Dubois1940,1984-12-01,1993-02-08
Duffy1938,1980-10-18,1996-01-29
Duncan1945,1984-12-01,1996-03-02
DuncanHughes1882,1922-12-16,1928-11-17
DuncanHughes1882,1940-09-21,1943-08-21
Duthie1912,1946-09-28,1975-12-13
Dutton1970,2001-11-10,NA
Easson1955,1993-03-13,1996-03-02
Edmonds1903,1946-09-28,1958-11-22
Edwards1842,1901-03-30,1913-04-23
Edwards1855,1910-04-13,1911-02-04
Edwards1855,1901-03-29,1906-11-05
Edwards1927,1972-12-02,1993-02-08
Edwards1945,1983-03-05,1993-03-13
Edwards1946,1998-10-03,2007-10-17
Eggins1898,1949-12-10,1952-01-28
Einfeld1909,1961-12-09,1963-11-30
Eldridge1872,1929-10-12,1931-12-19
Ellicott1927,1974-05-18,1981-02-17
Elliot1967,2004-10-09,NA
Elliott1954,1990-03-24,1996-03-02
Ellis1946,1998-10-03,2010-07-19
Ellis1946,1996-03-02,1998-10-03
Ellis1977,2004-10-09,2019-04-11
Elson1947,1996-03-02,2007-10-17
Emerson1954,1998-10-03,2013-08-05
Enderby1926,1970-05-30,1974-05-18
Enderby1926,1974-05-18,1975-12-13
England1911,1960-11-05,1975-11-11
Entsch1950,1996-03-02,2007-10-17
Entsch1950,2010-08-21,NA
Erwin1917,1955-12-10,1975-11-11
Evans1944,1996-03-02,1999-09-30
Evans1981,2016-07-02,NA
EvansMartyn1953,1994-03-19,2004-10-09
EvansRichard1953,1993-03-13,1998-10-03
Evatt1894,1940-09-21,1958-11-22
Evatt1894,1958-11-22,1960-02-10
Everingham1923,1967-09-30,1975-12-13
Everingham1923,1977-12-10,1984-10-26
Everingham1943,1984-12-01,1987-06-05
Ewert1918,1952-10-18,1954-05-29
Ewing1856,1901-03-29,1910-02-19
Fadden1894,1936-12-19,1949-12-10
Fadden1894,1949-12-10,1958-10-14
Fahey1945,1996-03-02,2001-10-08
Failes1899,1949-12-10,1969-09-29
Fairbairn1855,1906-12-12,1913-05-31
Fairbairn1897,1933-11-11,1940-08-13
Fairbairn1917,1949-12-10,1975-11-11
Fairhall1909,1949-12-10,1969-09-29
Falconer1943,1975-12-13,1983-03-05
Falinski1970,2016-07-02,NA
Falkinder1921,1946-09-28,1966-10-31
Falkiner1867,1917-05-05,1919-11-03
Falkiner1867,1913-05-31,1914-09-05
Falstein1914,1940-09-21,1949-12-10
Farmer1962,2001-11-10,2010-07-19
Fatin1941,1984-12-01,1996-01-29
Fatin1941,1983-03-05,1984-12-01
Fawcett1963,2004-10-09,2007-11-24
Feeney1970,2013-09-07,2018-02-01
Fenton1864,1910-04-13,1934-09-15
Ferguson1952,1990-03-24,2010-08-21
Ferguson1952,2010-08-21,2016-05-09
Ferguson1953,1996-03-02,2013-08-05
Ferguson1974,2004-10-09,2007-11-24
Fife1929,1975-12-13,1984-12-01
Fife1929,1984-12-01,1993-02-08
Filing1955,1990-03-24,1998-10-03
Finlayson1867,1910-04-13,1919-12-13
Fischer1946,1984-12-01,2001-10-08
Fisher1862,1901-03-30,1915-10-26
Fisher1936,1972-12-02,1993-02-08
Fisken1897,1934-09-15,1937-09-21
Fitzgerald1910,1949-12-10,1955-12-10
Fitzgibbon1936,1984-12-01,1996-01-29
Fitzgibbon1962,1996-03-02,NA
FitzPatrick1915,1969-10-25,1977-12-10
FitzPatrick1915,1977-12-10,1980-09-19
Fleming1874,1913-05-31,1922-12-16
Fletcher1965,2009-12-05,NA
Flint1978,2016-07-02,NA
Foley1872,1920-12-18,1922-12-16
Forbes1923,1956-10-13,1975-11-11
Ford1936,1990-03-24,1993-03-13
Forde1890,1922-12-16,1946-09-28
Forrest1847,1901-03-29,1918-09-02
Forrest1949,1993-03-13,2013-08-05
Foster1856,1909-08-28,1928-11-17
Foster1872,1906-12-12,1913-05-31
Foster1921,1969-10-25,1972-12-02
Fowler1865,1901-03-29,1922-12-16
Fox1912,1955-12-10,1974-05-18
Foxton1849,1906-12-12,1910-04-13
Francis1873,1925-11-14,1929-10-12
Francis1881,1919-12-13,1925-10-03
Francis1890,1922-12-16,1955-11-04
Fraser1902,1943-08-21,1966-11-26
Fraser1902,1969-10-25,1972-11-02
Fraser1908,1951-04-28,1970-04-01
Fraser1930,1955-12-10,1983-03-31
Frazer1880,1903-12-16,1913-11-25
Free1943,1984-12-01,1996-03-02
Free1943,1980-10-18,1984-12-01
Freelander1953,2016-07-02,NA
Freeth1914,1949-12-10,1969-10-25
Frost1882,1929-12-14,1931-12-19
Frost1882,1934-09-15,1946-09-28
Fry1920,1974-05-18,1984-10-26
Frydenberg1971,2010-08-21,NA
Fuller1861,1901-03-29,1913-05-31
Fuller1893,1943-08-21,1949-12-10
Fuller1893,1951-04-28,1955-12-10
Fuller1893,1961-12-09,1963-11-30
Fulton1909,1958-11-22,1975-11-11
Fysh1835,1903-12-16,1910-02-19
Fysh1835,1901-03-29,1903-12-16
Gabb1882,1919-12-13,1925-11-14
Gabb1882,1929-10-12,1934-08-07
Gaha1894,1943-08-21,1949-10-31
Gallus1943,1990-03-24,1993-03-13
Gallus1943,1993-03-13,2004-08-31
Galvin1911,1951-04-28,1966-11-26
Gambaro1958,2010-08-21,2016-05-09
Gambaro1958,1996-03-02,2007-11-24
Gander1888,1931-12-19,1940-09-21
Garden1882,1934-09-15,1937-09-21
Gardner1884,1922-12-16,1940-09-21
Garland1934,1969-04-19,1981-01-22
Garrett1953,2004-10-09,2013-08-05
Garrick1918,1969-10-25,1977-11-10
Gash1944,1996-03-02,2013-08-05
